Time,English,Korean
5s,Poverty is really linked to so many things in life.,"가난은 실제로
삶의 많은 부분과 연관되어 있습니다."
10s,Because it is not just an economic phenomenon.,"그것은 단순히
경제적인 현상이 아니기 때문입니다."
13s,It’s not just a social phenomenon.,그것은 단순한 사회적 현상이 아닙니다.
15s,It's an individual and a family.,그것은 개인과 가족에 관한 것입니다.
17s,It's at the base of really what it means to be human,"그것은
인간이라는 것이 무엇을 의미하는지,"
21s,and how we think about human rights.,그리고 인권에 대해 어떻게 생각하는지의 근간이 됩니다.
25s,My name is Huiyi Lin. I'm an artist with Chow and Lin.,제 이름은 린 후이이입니다. 저는 차우와 린과 함께 일하는 예술가입니다.
29s,"I've been creating a project called ""The Poverty Line""","저는
"
32s,"for the past 14 years with my partner, Stefen Chow.","
파트너인 슈테펜 초우와 함께 지난 14년간 ""빈곤선""이라는 프로젝트를 진행해 왔습니다."
35s,I calculated the per-person per-day rate of the national poverty line in China.,"저는 중국의 국가 빈곤선에 따른 1인당 1일 비율을 계산했습니다
."
40s,We then went to the local markets to purchase food items with that amount of money.,"그런 다음 우리는 그 돈으로 지역 시장에 가서
식료품을 구입했습니다 ."
44s,"Stefen photographed the food on local newspapers,","슈테펜은
지역 신문에 음식 사진을 실어 접시 위의"
47s,showing what poverty looks like on a plate.,"빈곤이 어떤 모습인지 보여주었습니다
."
51s,The poverty line tries to understand,빈곤선은
54s,and look at a very simple question:,"매우 간단한 질문, 즉"
57s,what does it mean to be poor?,가난하다는 것은 무엇을 의미하는가를 이해하고 살펴보려고 합니다.
59s,"We're looking at it from the angle of food choices,","우리는 빈곤선에서 사는 사람들이 이용할 수 있는
음식 선택의 관점에서 이 문제를 살펴보고 있습니다"
1:02,which would be available for somebody living at the poverty line of a country.,"
."
1:06,"When we talk about choices,","선택에 대해 말할 때,"
1:08,we also need to understand the scope in which we are able to make choices.,"우리는 선택을 할 수 있는 범위도 이해해야 합니다
."
1:12,"And that really changes the way that we can behave,","그리고 그것은
우리의 행동 방식,"
1:17,"the way that we relate to each other,","서로 관계를 맺는 방식,"
1:20,the way that we see each other and the way that we can work together.,"서로를 보는 방식, 그리고 함께 일하는 방식을 실제로 변화시킵니다."
1:24,"When we first created the project, we didn't even know what it was.","우리가 처음 이 프로젝트를 만들었을 때는
그것이 무엇인지조차 몰랐습니다."
1:28,"It was kind of just a way of communicating between the two of us,","그건
우리 둘 사이의 소통 방식이고,"
1:34,a way of extending that discussion about what poverty means.,"
빈곤이 무엇을 의미하는지에 대한 토론을 확대하는 방식이었습니다."
1:39,But when we started releasing the photographs online,"하지만 우리가 사진을 온라인에 공개하기 시작했을 때
"
1:42,"and we saw reactions coming from people in the US,","
미국 사람들,"
1:45,"from people in Europe and people in Russia,","유럽 사람들,
러시아 사람들,"
1:47,"and then later on, only much later on, people in China themselves,","그리고 나중에 훨씬 후에
중국 사람들로부터 반응이 나왔을 때,"
1:51,"whether it was right, whether it was too little,","그것이 옳은 일인지,  양이
너무 적은지,"
1:53,"whether it looks good, whether it looks fresh,","괜찮아 보이는지,
신선해 보이는지,"
1:56,whether it wasn't as what they expected.,기대했던 것과 다른지 등의 질문을 던집니다.
1:59,We found that different people have different responses to the same set of photographs.,"우리는 사람마다
 같은 사진에 대해 서로 다른 반응을 보인다는 것을 발견했습니다."
2:03,And it was very strange. It was really unexpected.,그리고 그것은 매우 이상했습니다. 정말 예상치 못한 일이었습니다.  제가 쓴
2:06,There is no policy report I could have ever written,"정책 보고서 중에는
"
2:08,that would have generated this kind of response.,"
이런 종류의 반응을 불러일으킬 만한 것이 없었습니다."
2:11,"For me, that was supposed to be a very objective way of looking at poverty,","저는 이것이
 가난을 바라보는 아주 객관적인 방법이라고 생각했지만,"
2:16,but yet it became very subjective,-
2:18,in the way that people connected,사람들이 우리가 선보이는 음식에 대해 공감
2:20,and felt emotional or very deeply personal,하고 감정적이거나 매우 개인적인 감정을 느끼는 방식이 매우 주관적이었습니다
2:24,about the food that we were presenting.,.
2:26,"We all have reactions, basically to food,",우리 모두는 음식에 대해 기본적으로 반응을 보입니다.
2:29,because it is a daily unifying human ritual.,"음식은 매일
인간이 겪는 통합된 의례이기 때문입니다."
2:33,"That kind of very visceral, instinctive reaction was something that surprised me,","그런 종류의 매우 본능적이고 본능적인 반응은 저에게는 놀라운 일이었지만
"
2:39,but later on became a very meaningful part,나중에는
2:41,of how the work engages people.,사람들이 작품에 참여하는 방식의 매우 의미 있는 부분이 되었습니다.
2:43,So we expanded the concept to different places.,"그래서 우리는 그 개념을
다른 곳으로 확장했습니다."
2:45,"We photographed what daily food choices at the poverty line looks like all over the world,","우리는 전 세계에서 빈곤선에서 매일 선택되는 음식이 어떤 모습인지 사진으로 담았고
 ,"
2:50,and we ultimately covered 38 countries and territories across six continents.,"궁극적으로
 6개 대륙에 걸쳐 38개국과 영토를 살펴보았습니다."
2:55,"Poverty is at the base of many issues that we see today,","빈곤은
오늘날 우리가 보고 있는 많은 문제의 근원이며"
2:59,and it will also be affected by many of the trends,-
3:02,"that we see in climate change,","기후 변화,"
3:04,"in conflict, in migration,","갈등, 이주,"
3:07,"and many crises, whether man-made or natural.","그리고 인재(
인위적이든 자연적이든)로 인한 많은 위기에서 볼 수 있는 많은 추세에도 영향을 받을 것입니다."
3:11,"Our photographs don't change that, but they do prompt conversations.","우리의 사진은 그걸 바꾸지는 않지만,
대화를 촉진시킵니다."
3:15,"""The Poverty Line"" images have sparked policy conversations","""빈곤선"" 이미지는
정책 논의를 촉발했고"
3:18,and prompted new research.,새로운 연구를 촉발시켰습니다.
3:20,"Working in policy or working in economic frameworks,","정책이나 경제적 틀에서 일할 때,
"
3:24,"there is a tendency to look at the broad strokes, at the macro view,","
큰 그림, 거시적 관점을 보는 경향이 있지만,"
3:29,"but it really depends on what is the local context,","이는 실제로
지역적 맥락에 따라 달라지며,"
3:31,and it's not something in the hands of somebody else.,"
다른 사람이 결정할 수 있는 문제가 아닙니다."
3:34,"It really is, you know, the next person beside us, the people in our own communities.","그건 정말로, 아시다시피,
우리 옆에 있는 사람들, 즉 우리가 속한 지역 사회의 사람들입니다."
3:39,We need to understand that we are all part of the same system,"우리는 모두가
같은 시스템의 일부이며"
3:42,and we all play a role in it.,", 우리 모두가 그 안에서 역할을 하고 있다는 것을 이해해야 합니다."
3:44,"""The Poverty Line"" is really about bridging the gaps","""빈곤선""은 실제로
"
3:48,"in our understanding, making us very curious,","우리의 이해의 격차를 메우는 것과 관련이 있으며,
우리를 매우 호기심 있게 만들고"
3:51,also motivated to want to understand more.,더 많이 이해하고자 하는 동기를 부여합니다.
3:54,"Because there are so many things which really bind us together,","
우리를 하나로 묶는 것들이 정말 많기 때문에,"
3:57,"and that really changes how we view the world, how we view decision making,","그 것들이
세상을 보는 방식, 의사 결정을 보는 방식,"
4:02,and how we view the people around us.,주변 사람들을 보는 방식을 실제로 바꿔놓습니다.
